Drew Gibson,10
Jon Wood,9
SWeko,3
Lucas Willett,1
Dmitry44,10
Frothy,15
Halley,16
Kalyan Raju,1
Stefanos Kalantzis,1
flappit,0
mastupristi,5
TylerJames,1
Jeff of Brooklyn,1
solenskiner,3
Unless,0
Zsolt Szikora,9
Reydon Ace,10
Bear of the Year,4
Anthrax00,2
Mas Ugn,0
MagicBox,118
Christian Ullenboom,6
BikeCurious,60
Victor Konshin,1
lee O.,1
yakunins,10
fgantt,0
Nan T,3
Metz,3
Dan Novak,10
whacko__Cracko,10
Carlosfocker,1
Cirday,10
Leimi,3
Pillis,3
Carles Company,2
Laxman,14
n0s,25
anticafe,1
John Dagg,95
Mohammad Makahleh,-2
brodie,4
Spacehamster,0
user40504,1
Zhami,45
yoitsfrancis,4
Anwar Chandra,3
prairiehat,1
mjbjr77,0
Tonderum Conundrum,3
aeruL,2
fie,0
Andreas G.,1
Tony Clark,6
livefree75,68
Carlo Alberto Degli Atti,2
Brite Roy,0
user477161,1
cjlittle,2
Kahu,14
kingzing1,7
JohnnyLongPants,0
Mr.Expert,1
Tomas Babic,4
dRef90,17
D__,6
Paul Brauner,1
user266982,4
Randy6T9,2
Six fourty,0
Spux,1
sbook,3
Dave O.,2
Carter Cole,1
snk,3
writes_on,2
bizzz,23
Gyom,11
Obfuskater,3
dmossakowski,1
Robert Audi,7
tgrk,1
marcio,7
user41767,5
chrisghardwick,2
Kredns,10
John Ewing,2
kinghajj,4
n00b,6
Doug Houck,1
jrdn,2
eliezer,0
Peter Lapisu,2
Jeff Vig,1
Kvad,0
shanmuga,0
jiai,1
user442692,0
GSchv,1
Stellios,2
user382523,2
Xeon43,1
digz6666,7
Denis Souza,1
Daniel Upton,4
themban,1
barrozz,2
Blanc,2
chris12892,2
sm2,4
Burkhard Exner,2
Pimp-o-matic,2
ignatalexeyenko,0
dfddf,1
hudsonmendes,0
username2,0
caltrop,1
Gaith,10
Shai Wininger,1
Irina C,0
muenalan,0
ungood,2
Jonhnny Weslley,7
Gary Mueller,3
Berserk,3
toddoon,4
Ken Henderson,1
seejay,3
Johan Kullbom,7
JLarky,1
Kevin Jaques,0
liven,0
Lifeguard,1
Gabe Rosser,0
user551728,0
Hakeem,1
Mickaël Rémond,6
Mahya,1
Brandon Emrich,0
romrom,7
Russell Jones,4
user448773,1
bigjeff,4
Danny Cantrell,1
Dan Fare,9
Chris Shelley,-6
Ceejay,2
Jonathan Tizard,3
pythonologist,1
Samir Sabri,1
Ian Fiske,6
ted776,0
jjmartres,2
mikehatfield,4
y_nk,17
Gotjosh,1
Mark Norgate,1
onecreativenerd,35
Andreas H,0
a.tamaz,2
Chris Stucchio,31
ashgromnies,3
tibin mathew,1
steadfastbuck,2
Erich Musick,3
Hons,4
Mesfin,0
Mark Knudson,2
kixx,8
Charles Faiga,11
Mikle,8
Dorky Engineer,93
Kelvin Meeks,1
Rashlien,5
iscavengers,5
H. Jensen,3
ricick,1
Kyle Banerjee,2
tetaslap,1
AlastairG,1
layne obserdia,5
David He,1
ConfusedWithJava,1
kaotix,0
Srinivas Banda,16
sollek,1
NewlessClubie,5
Claude Vedovini,2
Tyler Wright,-4
user372880,0
GGL,0
testalways,0
bmaupin,6
stao,-2
Zbigniew Kawalec,0
roneden,2
ThaKidd KG5ORD,2
Anish Dutta,0
Trent Acid,0
bobah,5
Fabian Ramos,0
Alberto González Palomo,36
BigFwoosh,5
Sinix,3
GUESSWHOz,2
Abdurrahman Gemei,0
Shreekara,0
Nolo,1
Dotnet Coder,1
energyblogwalter,1
user237163,0
spas,2
user48864,0
Dustin Brooks,4
Mark Cox,3
Monkey,1
user98773,2
Armandas,4
Chris McKee,3
user64282,1
Vitalik,2
Jens Alfke,2
Soichi Hayashi,23
Dilawar,0
user504424,4
Ricky Cook,0
erucolindo,0
drsim,4
amiekuser,5
msedi,2
Natasha Illyasviel,1
Popular,3
Broonix,5
b-lieve,2
Ade Lack,0
life,-2
Manuel Salvadores,2
Ineu,1
Benjamin Brauer,5
drewster,0
Leonardo Alt,5
Mato,3
Charles Maresh,3
Pete Sampras,3
dunelmtech,2
jmacboy,0
user327045,0
Iven,1
sepho,7
Abhiram,3
user271807,33
Mandrig,-2
jrallison,2
stevebot,4
Kyle Lutz,6
DoctorLouie,3
Paul Whitrow,0
Andreas Hornig,6
twig,4
M2M,0
Horus,1
jonasespelita,3
ang mo,1
migsho,2
HankH,148
GeoXYZ,2
markthegrea,2
emrekyv,2
Utah_Dave,1
theolagendijk,2
Ashley Mills,1
Vahid.m,8
zvrba,4
Matthew Steeples,2
Mark B,9
shmia,2
dopiaza,1
ChadK,12
jthespartan,0
Sean Thompson,0
user462872,1
Winner Manurung,1
dmitri926,0
Denis Fuenzalida,0
Michael Mazur,0
J cheung,0
Ray Balogh,1
killown,6
olegb,2
Hukmchand,4
dyp,4
freytag,1
Timofey Gorshkov,7
Vijay Prasath,0
mmontalbo,5
user315881,2
user344811,1
chanda,0
cikabole,3
Almar,13
kenswdev,2
jpitt42,2
Pawel Szulc,3
Tuinstoelen,15
